Month,Value
1992M1,52.56
1992M2,52.69
1992M3,52.42
1992M4,53.97
1992M5,55.3
1992M6,56.34
1992M7,56.48
1992M8,56.55
1992M9,57.45
1992M10,56.07
1992M11,54.1
1992M12,53.02
1993M1,52.54
1993M2,53.44
1993M3,53.96
1993M4,54.37
1993M5,54.5
1993M6,53.14
1993M7,52.72
1993M8,52.28
1993M9,51.26
1993M10,51.52
1993M11,50.19
1993M12,49.01
1994M1,50.06
1994M2,50.41
1994M3,50.26
1994M4,52.32
1994M5,54.58
1994M6,56.32
1994M7,57.6
1994M8,56.31
1994M9,56.38
1994M10,56.62
1994M11,57.59
1994M12,57.14
1995M1,58.57
1995M2,59.03
1995M3,59.55
1995M4,61.07
1995M5,60.42
1995M6,59.76
1995M7,58.7
1995M8,58.54
1995M9,58.35
1995M10,57.66
1995M11,58.11
1995M12,58.96
1996M1,58.86
1996M2,59.53
1996M3,61.32
1996M4,63.89
1996M5,63.04
1996M6,60.96
1996M7,61.54
1996M8,62.17
1996M9,62.7
1996M10,63.53
1996M11,62.67
1996M12,64.01
1997M1,64.62
1997M2,61.91
1997M3,61.32
1997M4,59.48
1997M5,61.41
1997M6,58.43
1997M7,58.22
1997M8,58.54
1997M9,58.03
1997M10,58.86
1997M11,57.8
1997M12,54.45
1998M1,51
1998M2,50.5
1998M3,49.34
1998M4,49.72
1998M5,50.15
1998M6,47.96
1998M7,47.32
1998M8,45.99
1998M9,46.96
1998M10,45.89
1998M11,44.49
1998M12,42.24
1999M1,43.31
1999M2,41.91
1999M3,43.84
1999M4,46.76
1999M5,47.55
1999M6,47.31
1999M7,49.68
1999M8,52.17
1999M9,55.1
1999M10,55.16
1999M11,57.11
1999M12,58.22
2000M1,59.42
2000M2,61.68
2000M3,62.12
2000M4,58.28
2000M5,62.42
2000M6,64.53
2000M7,62.99
2000M8,63.89
2000M9,67.17
2000M10,66.17
2000M11,66.99
2000M12,61
2001M1,61.92
2001M2,62.54
2001M3,60.4
2001M4,61.2
2001M5,63.39
2001M6,62.4
2001M7,59.54
2001M8,59.79
2001M9,57.74
2001M10,52
2001M11,49.96
2001M12,49.39
2002M1,50.07
2002M2,51.26
2002M3,55.88
2002M4,57.56
2002M5,58.14
2002M6,57.61
2002M7,59.81
2002M8,60.38
2002M9,62.76
2002M10,62.49
2002M11,59.48
2002M12,62.59
2003M1,66.3
2003M2,69.19
2003M3,65.64
2003M4,60.6
2003M5,61.34
2003M6,62.91
2003M7,63.25
2003M8,64.86
2003M9,62.95
2003M10,66.33
2003M11,67.26
2003M12,69.08
2004M1,71.92
2004M2,72.96
2004M3,76.52
2004M4,77.04
2004M5,81.03
2004M6,79.08
2004M7,81.43
2004M8,84.59
2004M9,83.67
2004M10,89.29
2004M11,84.59
2004M12,81.68
2005M1,86.71
2005M2,88.96
2005M3,97.29
2005M4,96.61
2005M5,93.6
2005M6,99.94
2005M7,102.9
2005M8,109.09
2005M9,109.3
2005M10,106.77
2005M11,102.86
2005M12,105.97
2006M1,113.1
2006M2,111.74
2006M3,113.21
2006M4,123.14
2006M5,127.45
2006M6,125.81
2006M7,130.92
2006M8,130.35
2006M9,119.19
2006M10,116.03
2006M11,117.29
2006M12,120.91
2007M1,112.97
2007M2,118.47
2007M3,122.37
2007M4,128.91
2007M5,129.83
2007M6,132.85
2007M7,138.05
2007M8,132.92
2007M9,140.6
2007M10,147.67
2007M11,157.78
2007M12,156.8
2008M1,162.42
2008M2,171.14
2008M3,181.44
2008M4,189.51
2008M5,204.07
2008M6,215.69
2008M7,219.74
2008M8,195.66
2008M9,176.31
2008M10,139.22
2008M11,114.97
2008M12,98.3
2009M1,102.39
2009M2,98.16
2009M3,100.11
2009M4,104.14
2009M5,114.89
2009M6,128.22
2009M7,123.51
2009M8,132.91
2009M9,127.63
2009M10,134.88
2009M11,140.93
2009M12,140.91
2010M1,146.12
2010M2,142.43
2010M3,148.9
2010M4,158.01
2010M5,146.61
2010M6,143.49
2010M7,144.05
2010M8,148.45
2010M9,150.28
2010M10,159.55
2010M11,164.9
2010M12,174.9
2011M1,182.13
2011M2,190.04
2011M3,199.61
2011M4,210.09
2011M5,199.53
2011M6,196
2011M7,198.95
2011M8,190.51
2011M9,188.72
2011M10,182.87
2011M11,186.38
2011M12,184.04
2012M1,188.4
2012M2,195.87
2012M3,201.81
2012M4,197.53
2012M5,185.14
2012M6,169.95
2012M7,177.9
2012M8,185.46
2012M9,186.9
2012M10,183.11
2012M11,180.59
2012M12,182.48
2013M1,187.55
2013M2,190.65
2013M3,183.73
2013M4,179
2013M5,179.4
2013M6,179.16
2013M7,183.55
2013M8,185.66
2013M9,185.06
2013M10,182.36
2013M11,179.64
2013M12,184.27
2014M1,180.12
2014M2,183.26
2014M3,183.07
2014M4,184.66
2014M5,184.24
2014M6,185.15
2014M7,181.28
2014M8,175.15
2014M9,168.39
2014M10,157.48
2014M11,148.46
2014M12,130.83
2015M1,114.81
2015M2,120.88
2015M3,116.99
2015M4,119.5
2015M5,125.32
2015M6,123.3
